ANT1,44.20,9.38,270.00,2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,43.05,14.64,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,11.39,7.41,180.00,10uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C10,39.06,19.49,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,40.65,16.34,0.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,38.46,17.10,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,37.51,17.08,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,32.96,17.73,90.00,4.7μF,NORDIC_NRF_3_RESC0402_L
C15,35.84,19.32,270.00,1.0μF,NORDIC_NRF_3_RESC0402_L
C16,36.99,19.56,270.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,27.99,14.09,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,27.94,11.49,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,42.96,32.45,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,42.09,18.21,270.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,22.25,16.11,180.00,4.7uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
C20,31.94,9.07,270.00,4.7μF,NORDIC_NRF_3_RESC0402_L
C21,33.44,8.02,270.00,4.7μF,NORDIC_NRF_3_RESC0402_L
C22,43.51,12.84,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C23,13.55,27.90,0.00,0.1uF,GRM011R60J152KE01L_1_0201
C24,12.62,28.12,270.00,10uF,PERFECT_0402_0402
C25,17.82,24.03,270.00,22uF,PERFECT_0402_0402
C27,13.63,33.20,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,22.99,5.00,180.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C3,40.81,14.12,90.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,34.03,5.10,180.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C31,11.97,5.00,180.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C32,43.30,25.91,270.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C33,19.52,22.84,270.00,22uF,PERFECT_0402_0402
C34,43.30,21.19,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,26.80,23.99,270.00,1uF,GRM011R60J152KE01L_1_0201
C38,24.97,27.60,0.00,1uF,GRM011R60J152KE01L_1_0201
C39,27.35,25.52,0.00,10uF,PERFECT_0402_0402
C4,42.71,12.84,90.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,22.50,26.25,270.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C43,21.44,26.27,270.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C5,31.05,15.86,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,30.94,9.82,270.00,4.7μF,NORDIC_NRF_3_RESC0402_L
C7,36.44,8.70,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,38.74,8.65,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,40.40,12.64,0.00,820pF,NORDIC_NRF_3_RESC0201_L
D2,23.28,18.40,180.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D3,29.16,18.62,0.00,USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D4,23.76,13.80,0.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,23.30,10.30,180.00,MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
EPD_C1,13.62,20.51,180.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C10,13.61,10.81,180.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C11,13.63,9.71,180.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C12,11.37,8.61,180.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C2,13.61,21.71,180.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C5,13.62,16.26,180.00,0.1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C6,13.61,15.16,180.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C7,13.60,14.06,180.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C8,13.59,12.96,180.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
EPD_C9,13.58,11.86,180.00,1uF,ESP32_C6_LIBRARY_1_ESP32_WROVER_EAGLE-LTSPICE_C0402
IC1,24.74,25.32,0.00,BQ25180YBGR,BQ25180YBGR_BGA8C40P2X4_100X155X50
IC2,43.28,23.54,0.00,DRV2605YZFR,DRV2605YZFR_BGA9C50P3X3_144X144X62
IC3,42.17,29.84,0.00,BMA421,BMA423_BMA423
IC9,15.69,26.82,0.00,RT6160AWSC,RT6160AWSC_BGA15C40P3X5_140X230X60
J1,9.33,17.51,270.00,503480-2400,503480-2400_5034802400
J2,34.28,29.35,270.00,TC2030-IDC,TC2030-IDC_TC2030IDC
J4,23.46,31.33,180.00,KH-TYPE-C-16P,KH-TYPE-C-16P_KINGHELM_KH-TYPE-C-16P
L1,41.74,13.07,270.00,3.9nH,NORDIC_NRF_2_RESC0402_L
L2,33.96,17.48,90.00,10μH,NORDIC_NRF_2_RESC0402_L
L3,33.96,19.33,90.00,15nH,NORDIC_NRF_2_RESC0402_L
L5,17.87,10.32,270.00,68uH,ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE
L7,5.21,27.49,270.00,FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N
Q1,21.57,21.61,90.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,19.20,16.17,270.00,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,7.11,28.90,180.00,3K3,CPF0201D7K68C1_0201
R18,7.05,26.20,0.00,3K3,CPF0201D7K68C1_0201
R1_EP_DR,18.93,18.50,0.00,0.47,CPF0201D7K68C1_0201
R1_USB,24.31,27.60,180.00,5K1,CPF0201D7K68C1_0201
R2,13.50,25.85,90.00,0,CPF0201D7K68C1_0201
R2_EP_DR,19.91,18.50,0.00,10K,CPF0201D7K68C1_0201
R2_USB,21.67,27.70,0.00,5K1,CPF0201D7K68C1_0201
R3,39.70,29.03,90.00,0,CPF0201D7K68C1_0201
R4,13.50,26.39,90.00,0,CPF0201D7K68C1_0201
R5,33.85,5.90,180.00,10k,CPF0201D7K68C1_0201
R7,22.69,5.90,180.00,10k,CPF0201D7K68C1_0201
R8,11.73,5.90,180.00,10k,CPF0201D7K68C1_0201
R9,22.70,24.73,90.00,10K,CPF0201D7K68C1_0201
R_PWR_EPD,23.37,20.99,180.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,17.71,14.19,180.00,2.2,CPF0201D7K68C1_0201
SJ1,16.35,16.60,90.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,23.00,3.20,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,12.00,3.21,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,34.00,3.20,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP1,9.56,33.62,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP2,17.68,21.62,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3.3V,40.70,6.22,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,43.88,5.12,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,7.33,4.97,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,7.79,2.42,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,44.66,19.42,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,39.84,21.42,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,34.37,21.57,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,41.63,11.07,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,37.80,6.27,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,41.58,8.72,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,11.65,32.07,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,10.91,29.07,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,36.23,12.88,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,16.16,33.01,0.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,42.84,16.31,0.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,29.81,12.83,270.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
